,Head_orientation_vertical,Head_orientation_horizontal,Mouth_open,Phone_detected,Head_count,Head_angles_v,Head_angles_h
450, , ,Mouth open, ,1,-23,24
451, ,Head left,Mouth open, ,1,-7,-52
452, , ,Mouth open, ,1,-21,24
453, , ,Mouth open, ,1,-7,-38
454, , ,Mouth open, ,1,-15,28
455, ,Head left,Mouth open, ,1,-7,-52
456, , ,Mouth open, ,0,-18,25
457, ,Head left,Mouth open, ,0,-5,-53
458, , ,Mouth open, ,0,-17,26
459, ,Head left,Mouth open, ,0,-7,-53
460, , ,Mouth open, ,1,7,-31
461, , , , ,0,13,-38
462, ,Head left, , ,0,6,-52
463, ,Head left, , ,0,5,-49
464, ,Head left, , ,0,11,-49
465, , ,Mouth open, ,1,3,-38
466, , ,Mouth open, ,0,0,-38
467, , ,Mouth open, ,2,4,-34
468, , ,Mouth open, ,1,8,-32
469, , ,Mouth open, ,1,1,-40
470, , ,Mouth open, ,0,0,-42
471, , ,Mouth open, ,0,-16,-47
472, , , , ,1,2,30
473, , ,Mouth open, ,1,-2,44
474, , ,Mouth open, ,1,-13,33
475, , ,Mouth open, ,1,-26,18
476, , ,Mouth open, ,1,1,44
477, , ,Mouth open, ,0,-2,40
478,Head down, ,Mouth open, ,0,59,-2
479, , ,Mouth open, ,1,-41,14
480, , ,Mouth open, ,1,-36,16
481,Head up, ,Mouth open, ,1,-48,12
482, , ,Mouth open, ,1,-14,43
483, , ,Mouth open, ,1,0,-20
484, , ,Mouth open, ,2,-41,11
485, , ,Mouth open, ,1,22,-6
486, , ,Mouth open, ,1,-6,13
487,Head down, ,Mouth open, ,2,71,10
488, , ,Mouth open, ,2,-38,-6
489,Head up, ,Mouth open, ,2,-70,3
490,Head down, ,Mouth open, ,2,86,0
491, , ,Mouth open, ,1,-37,14
492, , ,Mouth open, ,0,-4,14
493, , ,Mouth open, ,0,-3,22
494, , ,Mouth open, ,1,-4,28
495, , ,Mouth open, ,0,-9,43
496, , ,Mouth open, ,1,-6,29
497, , ,Mouth open, ,0,-18,12
498, , ,Mouth open, ,1,21,-34
499, , ,Mouth open, ,0,-16,6
500, , ,Mouth open, ,0,5,-41
501, , ,Mouth open, ,0,-17,13
502, , ,Mouth open, ,0,-21,17
503, , ,Mouth open, ,1,-16,-4
504, , ,Mouth open, ,1,-28,29
505, , ,Mouth open, ,1,-18,10
506, , ,Mouth open, ,1,11,-31
507, , ,Mouth open, ,1,-20,10
508, , ,Mouth open, ,1,-26,26
509, , ,Mouth open, ,1,-14,36
510, , ,Mouth open, ,1,11,-25
511, , ,Mouth open, ,1,10,-32
512, , , , ,0,-9,-35
513,Head down, , , ,1,55,-7
514, ,Head right, , ,1,3,48
515, , , , ,1,-12,36
516, , , , ,1,-47,15
517, , ,Mouth open, ,1,-18,29
518, , ,Mouth open, ,1,-14,34
519, , , , ,1,-14,34
520, ,Head right,Mouth open, ,1,-3,48
521, , , , ,1,-6,44
522, , , , ,1,1,-42
523, , , , ,1,15,-24
524, , , , ,1,-19,-33
525, , , , ,1,11,-22
526, , , , ,2,-2,-27
527, , , , ,1,11,-29
528, , , , ,1,17,-23
529, , , , ,1,14,-26
530, , , , ,1,21,-18
531, , , , ,1,-11,33
532, , , , ,1,-14,37
533, , , , ,1,-14,37
534, , , , ,1,24,-28
535, , , , ,1,8,-42
536, , , , ,1,-30,-27
537, ,Head left, , ,1,3,-48
538, ,Head left, , ,1,1,-52
539, , , , ,1,10,-42
540, , , , ,1,-16,28
541, , , , ,1,-18,33
542, , , , ,1,-15,30
543, , , , ,1,-7,31
544, , ,Mouth open, ,1,-15,31
545, , , , ,1,-14,35
546, , , , ,2,-13,-10
547, , , , ,2,-14,-12
548, , , , ,2,-14,-13
549, , , , ,1,-12,-12
550, , , , ,1,-19,-8
551, , , , ,1,-2,-8
552, , , , ,1,-7,-9
553, , , , ,1,-6,-9
554, , , , ,1,-14,34
555, , , , ,1,-10,-9
556, , , , ,0,-13,-9
557, , , , ,0,-14,34
558, , , , ,0,-15,33
559, , , , ,1,-15,34
560, , , , ,1,-14,-13
561, , , , ,2,-25,-11
562, , , , ,3,5,-45
563, , , , ,1,12,-38
564, , , , ,1,8,-42
565, ,Head left,Mouth open, ,1,4,-48
566, , , , ,1,5,-43
567, , , , ,0,8,-39
568, ,Head left,Mouth open, ,0,-1,-53
569, , , , ,1,15,-37
570, ,Head left, , ,1,4,-50
571, , , , ,1,16,-23
572, , ,Mouth open, ,1,-13,34
573, , ,Mouth open, ,1,-11,38
574, , , , ,1,10,-34
575, , , , ,1,13,-26
576, , ,Mouth open, ,1,14,-26
577, , ,Mouth open, ,1,16,-24
578, , , , ,1,13,-29
