,Head_orientation_vertical,Head_orientation_horizontal,Mouth_open,Phone_detected,Head_count,Head_angles_v,Head_angles_h
678, , , , ,1,6,-28
679, , , , ,1,7,-27
680, , , , ,1,6,-27
681, , , , ,1,6,-26
682, , , , ,1,9,-26
683, , , , ,1,8,-27
684, , , , ,1,10,-24
685, , , , ,1,10,-24
686, , , , ,1,10,-25
687, , , , ,1,10,-28
688, , , , ,1,9,-25
689, , , , ,1,10,-25
690, , , , ,1,9,-26
691, , , , ,1,9,-27
692, , , , ,1,10,-26
693, , , , ,1,10,-27
694, , , , ,1,8,-28
695, , , , ,1,8,-32
696, , , , ,1,8,-33
697, , ,Mouth open, ,1,4,15
698, , , , ,1,11,-26
699, , , , ,1,10,-30
700, , , , ,1,13,-29
701, , , , ,1,9,-32
702, , , , ,1,34,-11
703, , , , ,1,7,-29
704, , , , ,1,8,-29
705, , , , ,1,13,-24
706, , , , ,1,13,-24
707, , , , ,1,8,-35
708, , , , ,1,18,-21
709, , , , ,1,7,-35
710, , , , ,1,14,-22
711, , , , ,1,8,-31
712, , , , ,1,7,-31
713, , , , ,1,7,-32
714, , , , ,1,6,-32
715, , , , ,1,8,-29
716, , , , ,1,6,-32
717, , , , ,1,5,-32
718, , , , ,1,8,-27
719, , , , ,1,7,-33
720, , , , ,1,8,-28
721, , , ,49.18622970581055,1,6,-30
722, , , , ,1,10,-26
723, , , , ,1,7,-31
724, , ,Mouth open, ,1,-7,-18
725, , ,Mouth open, ,1,3,-17
726, , ,Mouth open, ,1,30,-3
727, , ,Mouth open, ,1,-2,-25
728, , ,Mouth open, ,1,-46,3
729,Head up, ,Mouth open, ,1,-59,2
730, , ,Mouth open, ,1,0,-22
731, , ,Mouth open, ,1,-23,0
732,Head down, ,Mouth open, ,1,70,-1
733,Head up, ,Mouth open, ,1,-65,3
734, , ,Mouth open, ,1,-17,0
735, , ,Mouth open, ,1,3,-25
736, , , , ,1,10,-25
737, , , , ,1,12,-21
738, , , , ,1,11,-24
739, , , , ,1,11,-25
740, , , , ,1,10,-27
741, , , , ,1,10,-28
742, , , , ,1,11,-25
743, , , , ,1,11,-28
744, , , , ,1,10,-29
745, , , , ,1,9,-30
746, , , , ,1,10,-28
747, , , , ,1,10,-29
748, , , , ,1,9,-29
749, , , , ,1,9,-30
750, , , , ,1,10,-29
751, , , , ,1,10,-27
752, , , , ,1,9,-30
753, , , , ,1,9,-30
754, , , , ,1,9,-29
755, , , , ,1,9,-31
756, , , , ,1,9,-30
757, , , , ,1,11,-29
758, , , , ,1,10,-30
759, , , , ,1,10,-29
760, , , ,46.41098976135254,1,10,-28
761, , , , ,1,9,-29
762, , , , ,1,11,-27
763, , , , ,1,9,-28
764, , , , ,1,10,-27
765, , , ,45.42377293109894,1,10,-29
766, , , , ,1,9,-29
767, , , , ,1,9,-29
768, , , , ,1,9,-29
769, , , , ,1,9,-30
770, , , , ,1,13,-12
771, , , ,47.20892012119293,1,10,-28
772, , , , ,1,10,-28
773, , , , ,1,10,-28
774, , , , ,1,11,-28
775, , , , ,1,10,-29
776, , , , ,1,10,-28
777, , , , ,1,9,-31
778, , , , ,1,9,-31
779, , , , ,1,9,-22
780, , , , ,1,10,-27
781, , , , ,1,11,-27
782, , , , ,1,10,-28
783, , , , ,1,10,-29
784, , , , ,1,9,-29
785, , , , ,1,10,-27
786, , , , ,1,9,-28
787, , , , ,1,10,-29
788, , , , ,1,9,-31
789, , , , ,1,10,-29
790, , , , ,1,9,-31
791, , , , ,1,10,-29
792, , , , ,1,10,-30
793, , , , ,1,9,-31
794, , , , ,1,9,-29
795, , , , ,1,8,-28
796, , , , ,1,9,-28
797, , , , ,1,10,-27
798, , , , ,1,9,-27
799, , , , ,1,7,-23
800, , ,Mouth open, ,1,7,-25
801, , ,Mouth open, ,1,9,-20
802, , ,Mouth open, ,1,8,-23
803, , ,Mouth open, ,1,6,-21
804, , , , ,1,6,-22
805, , ,Mouth open, ,1,6,-19
806, , , , ,1,8,-23
807, , , , ,1,10,-27
808, , , , ,1,11,-25
809, , , , ,1,10,-27
810, , , , ,1,10,-23
811, , , , ,1,10,-25
812, , , , ,1,10,-22
813, , , , ,1,11,-24
814, , , , ,1,12,-26
815, , , ,47.2480833530426,1,12,-25
816, , , , ,1,11,-25
817, , , , ,1,11,-23
818, , , , ,1,9,-24
819, , , , ,1,10,-23
820, , , , ,1,9,-23
821, , , , ,1,10,-24
822, , , , ,1,11,-24
823, , , , ,1,10,-24
824, , , , ,1,9,-23
825, , , , ,1,10,-22
826, , , , ,1,11,-24
827, , , , ,1,11,-24
828, , , , ,1,9,-25
829, , , , ,1,11,-24
830, , , , ,1,12,-22
831, , , , ,1,12,-22
832, , , , ,1,13,-24
833, , , , ,1,13,-22
834, , , , ,1,12,-25
835, , , , ,1,12,-23
836, , , , ,1,12,-24
837, , , , ,1,12,-26
838, , , , ,1,11,-25
839, , , , ,1,24,-10
840, , , , ,1,13,-26
841, , , , ,1,12,-27
842, , , , ,1,22,-9
843, , , , ,1,12,-25
844, , , , ,1,10,-23
845, , , , ,1,10,-24
846, , , , ,1,9,-26
847, , , , ,1,11,-23
848, , , , ,1,9,-27
849, , , , ,1,6,-22
850, , , , ,1,8,-23
851, , , , ,1,8,-24
852, , , , ,1,6,-24
853, , , , ,1,6,-32
854, , , , ,1,4,-27
855, , , , ,1,6,-29
856, , , , ,1,8,-29
857, , , , ,1,7,-29
858, , , , ,1,7,-30
859, , , , ,1,7,-31
860, , , , ,1,7,-29
861, , , , ,1,7,-32
862, , , , ,1,7,-31
863, , , , ,1,7,-32
864, , , , ,1,7,-28
865, , , , ,1,8,-30
